"Order Price List Key","Shipping Location Code","Product Code","Product Sub Code","Form Code","Container Code","Customer Number","Customer Name","Customer Address","Order Number","Actual Ship Date","Reserved for future use","Invoice/Credit Memo Printed Date","Quantity Shipped/ Invoiced","Unit Price","Extended Price","MT","Territory Manager Code","Sales Rep Number","Status"
"15","1207     ","113701  ","  ","PL","50KG","214109051  ","4.000      ","200.000      ","4660.00        ","1170125  ","1170120  ","0    ","CHOUDHARY TARDING CO.                        ","","","","","","FAILED"
"15","1207     ","113801  ","  ","PL","50KG","214109051  ","390.000    ","19500.000    ","468000.00      ","1170125  ","1170120  ","0    ","CHOUDHARY TARDING CO.                        ","","","","","","FAILED"
"15","1497     ","3301    ","  ","CR","50KG","214109051  ","80.000     ","4000.000     ","108400.00      ","1170130  ","1170128  ","0    ","CHOUDHARY TARDING CO.                        ","","","","","","FAILED"
"15","1497     ","113801  ","  ","PL","50KG","214109051  ","320.000    ","16000.000    ","384000.00      ","1170130  ","1170128  ","0    ","CHOUDHARY TARDING CO.                        ","","","","","","FAILED"
"15","1642     ","3301    ","  ","CR","50KG","214109051  ","20.000     ","1000.000     ","27100.00       ","1170203  ","1170131  ","0    ","CHOUDHARY TARDING CO.                        ","","","","","","FAILED"
"15","1642     ","113102  ","  ","PL","25KG","214109051  ","6.000      ","150.000      ","4860.00        ","1170203  ","1170131  ","0    ","CHOUDHARY TARDING CO.                        ","","","","","","FAILED"
"15","1642     ","113201  ","  ","PL","50KG","214109051  ","5.000      ","250.000      ","5225.00        ","1170203  ","1170131  ","0    ","CHOUDHARY TARDING CO.                        ","","","","","","FAILED"
"15","1642     ","113701  ","  ","PL","50KG","214109051  ","2.000      ","100.000      ","2330.00        ","1170203  ","1170131  ","0    ","CHOUDHARY TARDING CO.                        ","","","","","","FAILED"
"15","1642     ","113801  ","  ","PL","50KG","214109051  ","270.000    ","13500.000    ","324000.00      ","1170203  ","1170131  ","0    ","CHOUDHARY TARDING CO.                        ","","","","","","FAILED"
"15","1743     ","113801  ","  ","PL","50KG","214109051  ","300.000    ","15000.000    ","360000.00      ","1170209  ","1170206  ","0    ","CHOUDHARY TARDING CO.                        ","","","","","","FAILED"
"15","1744     ","113801  ","  ","PL","50KG","214109051  ","100.000    ","5000.000     ","120000.00      ","1170209  ","1170206  ","0    ","CHOUDHARY TARDING CO.                        ","","","","","","FAILED"
"15","1956     ","3301    ","  ","CR","50KG","214109051  ","100.000    ","5000.000     ","135500.00      ","1170216  ","1170213  ","0    ","CHOUDHARY TARDING CO.                        ","","","","","","FAILED"
"15","1956     ","3401    ","  ","CR","50KG","214109051  ","5.000      ","250.000      ","7775.00        ","1170216  ","1170213  ","0    ","CHOUDHARY TARDING CO.                        ","","","","","","FAILED"
"15","1956     ","113001  ","  ","PL","50KG","214109051  ","5.000      ","250.000      ","5625.00        ","1170216  ","1170213  ","0    ","CHOUDHARY TARDING CO.                        ","","","","","","FAILED"
"15","1956     ","113801  ","  ","PL","50KG","214109051  ","190.000    ","9500.000     ","228000.00      ","1170216  ","1170213  ","0    ","CHOUDHARY TARDING CO.                        ","","","","","","FAILED"
"15","1957     ","113801  ","  ","PL","50KG","214109051  ","100.000    ","5000.000     ","120000.00      ","1170216  ","1170213  ","0    ","CHOUDHARY TARDING CO.                        ","","","","","","FAILED"
"15","2125     ","3301    ","  ","CR","50KG","214109051  ","50.000     ","2500.000     ","66750.00       ","1170220  ","1170217  ","0    ","CHOUDHARY TARDING CO.                        ","","","","","","FAILED"
"15","2125     ","3401    ","  ","CR","50KG","214109051  ","3.000      ","150.000      ","4605.00        ","1170220  ","1170217  ","0    ","CHOUDHARY TARDING CO.                        ","","","","","","FAILED"
"15","2125     ","113001  ","  ","PL","50KG","214109051  ","2.000      ","100.000      ","2210.00        ","1170220  ","1170217  ","0    ","CHOUDHARY TARDING CO.                        ","","","","","","FAILED"
"15","2125     ","113102  ","  ","PL","25KG","214109051  ","4.000      ","100.000      ","3200.00        ","1170220  ","1170217  ","0    ","CHOUDHARY TARDING CO.                        ","","","","","","FAILED"
"15","2125     ","113701  ","  ","PL","50KG","214109051  ","3.000      ","150.000      ","3435.00        ","1170220  ","1170217  ","0    ","CHOUDHARY TARDING CO.                        ","","","","","","FAILED"
"15","2125     ","113801  ","  ","PL","50KG","214109051  ","340.000    ","17000.000    ","401200.00      ","1170220  ","1170217  ","0    ","CHOUDHARY TARDING CO.                        ","","","","","","FAILED"
